MC	<p>000. 7864</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">D</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>064. 8c6d</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">U</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">V</span></strong> &rarr; <strong><span style="color: DarkGreen">W</span></strong> &rarr; <strong><span style="color: DarkCyan">X</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">X</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">U</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">V</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">X</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Correct
MC	<p>065. de82</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">V</span></strong> &rarr; <strong><span style="color: DarkGreen">W</span></strong> &rarr; <strong><span style="color: DarkCyan">X</span></strong> &rarr; <strong><span style="color: DarkBlue">Y</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">Y</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">V</span></strong> &rarr; <strong><span style="color: DarkGreen">W</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">Y</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>066. 5e2d</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">A</span></strong> &rarr; <strong><span style="color: DarkCyan">B</span></strong> &rarr; <strong><span style="color: DarkBlue">C</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">D</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">A</span></strong> &rarr; <strong><span style="color: DarkCyan">B</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">D</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>067. 868f</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">B</span></strong> &rarr; <strong><span style="color: DarkBlue">C</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">D</span></strong> &rarr; <strong><span style="color: DarkMagenta">E</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">E</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">B</span></strong> &rarr; <strong><span style="color: DarkBlue">C</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">E</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
MC	<p>068. 0af9</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">C</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">D</span></strong> &rarr; <strong><span style="color: DarkMagenta">E</span></strong> &rarr; <strong><span style="color: DarkViolet">F</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">F</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">C</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">D</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">F</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>069. 9124</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">D</span></strong> &rarr; <strong><span style="color: DarkMagenta">E</span></strong> &rarr; <strong><span style="color: DarkViolet">F</span></strong> &rarr; <strong><span style="color: DarkRed">G</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">G</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">D</span></strong> &rarr; <strong><span style="color: DarkMagenta">E</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">G</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>070. 05f7</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">E</span></strong> &rarr; <strong><span style="color: DarkViolet">F</span></strong> &rarr; <strong><span style="color: DarkRed">G</span></strong> &rarr; <strong><span style="color: DarkOrange">H</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">H</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">E</span></strong> &rarr; <strong><span style="color: DarkViolet">F</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">H</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
MC	<p>071. f435</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">F</span></strong> &rarr; <strong><span style="color: DarkRed">G</span></strong> &rarr; <strong><span style="color: DarkOrange">H</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">I</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">I</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">F</span></strong> &rarr; <strong><span style="color: DarkRed">G</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">I</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>072. 2394</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">G</span></strong> &rarr; <strong><span style="color: DarkOrange">H</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">I</span></strong> &rarr; <strong><span style="color: DarkGreen">J</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">J</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">G</span></strong> &rarr; <strong><span style="color: DarkOrange">H</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">J</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>073. 0fdf</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">H</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">I</span></strong> &rarr; <strong><span style="color: DarkGreen">J</span></strong> &rarr; <strong><span style="color: DarkCyan">K</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">K</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">H</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">I</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">K</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>074. 450e</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">I</span></strong> &rarr; <strong><span style="color: DarkGreen">J</span></strong> &rarr; <strong><span style="color: DarkCyan">K</span></strong> &rarr; <strong><span style="color: DarkBlue">L</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">L</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">I</span></strong> &rarr; <strong><span style="color: DarkGreen">J</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">L</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  activator&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>075. 4f1e</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">J</span></strong> &rarr; <strong><span style="color: DarkCyan">K</span></strong> &rarr; <strong><span style="color: DarkBlue">L</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">M</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">M</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">J</span></strong> &rarr; <strong><span style="color: DarkCyan">K</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">M</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Correct
MC	<p>076. d5e8</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">K</span></strong> &rarr; <strong><span style="color: DarkBlue">L</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">M</span></strong> &rarr; <strong><span style="color: DarkMagenta">N</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">N</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">K</span></strong> &rarr; <strong><span style="color: DarkBlue">L</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">N</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Correct	D.  activator&nbsp; 	Incorrect
MC	<p>077. d1e0</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">L</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">M</span></strong> &rarr; <strong><span style="color: DarkMagenta">N</span></strong> &rarr; <strong><span style="color: DarkViolet">O</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">O</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">L</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">M</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">O</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>078. 17a3</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">M</span></strong> &rarr; <strong><span style="color: DarkMagenta">N</span></strong> &rarr; <strong><span style="color: DarkViolet">O</span></strong> &rarr; <strong><span style="color: DarkRed">P</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">P</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">M</span></strong> &rarr; <strong><span style="color: DarkMagenta">N</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">P</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>079. 86bf</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">N</span></strong> &rarr; <strong><span style="color: DarkViolet">O</span></strong> &rarr; <strong><span style="color: DarkRed">P</span></strong> &rarr; <strong><span style="color: DarkOrange">Q</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">Q</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">N</span></strong> &rarr; <strong><span style="color: DarkViolet">O</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">Q</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>080. 06a9</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">O</span></strong> &rarr; <strong><span style="color: DarkRed">P</span></strong> &rarr; <strong><span style="color: DarkOrange">Q</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">R</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">R</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">O</span></strong> &rarr; <strong><span style="color: DarkRed">P</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">R</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>081. 32e4</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">P</span></strong> &rarr; <strong><span style="color: DarkOrange">Q</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">R</span></strong> &rarr; <strong><span style="color: DarkGreen">S</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">S</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">P</span></strong> &rarr; <strong><span style="color: DarkOrange">Q</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">S</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Correct	B.  activator&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>082. bbc2</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">Q</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">R</span></strong> &rarr; <strong><span style="color: DarkGreen">S</span></strong> &rarr; <strong><span style="color: DarkCyan">T</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">T</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">Q</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">R</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">T</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>083. 6e76</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">R</span></strong> &rarr; <strong><span style="color: DarkGreen">S</span></strong> &rarr; <strong><span style="color: DarkCyan">T</span></strong> &rarr; <strong><span style="color: DarkBlue">U</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">U</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">R</span></strong> &rarr; <strong><span style="color: DarkGreen">S</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">U</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>084. 37d5</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">S</span></strong> &rarr; <strong><span style="color: DarkCyan">T</span></strong> &rarr; <strong><span style="color: DarkBlue">U</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">V</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">V</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">S</span></strong> &rarr; <strong><span style="color: DarkCyan">T</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">V</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Correct
MC	<p>085. b029</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">T</span></strong> &rarr; <strong><span style="color: DarkBlue">U</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">V</span></strong> &rarr; <strong><span style="color: DarkMagenta">W</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">W</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">T</span></strong> &rarr; <strong><span style="color: DarkBlue">U</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">W</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>086. 6a1e</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">U</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">V</span></strong> &rarr; <strong><span style="color: DarkMagenta">W</span></strong> &rarr; <strong><span style="color: DarkViolet">X</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">X</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">U</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">V</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">X</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>087. 8ab1</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">V</span></strong> &rarr; <strong><span style="color: DarkMagenta">W</span></strong> &rarr; <strong><span style="color: DarkViolet">X</span></strong> &rarr; <strong><span style="color: DarkRed">Y</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">Y</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">V</span></strong> &rarr; <strong><span style="color: DarkMagenta">W</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">Y</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>088. 3e87</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">A</span></strong> &rarr; <strong><span style="color: DarkViolet">B</span></strong> &rarr; <strong><span style="color: DarkRed">C</span></strong> &rarr; <strong><span style="color: DarkOrange">D</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">A</span></strong> &rarr; <strong><span style="color: DarkViolet">B</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">D</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>089. 27b7</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">B</span></strong> &rarr; <strong><span style="color: DarkRed">C</span></strong> &rarr; <strong><span style="color: DarkOrange">D</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">E</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">E</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">B</span></strong> &rarr; <strong><span style="color: DarkRed">C</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">E</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>090. 0557</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">C</span></strong> &rarr; <strong><span style="color: DarkOrange">D</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">E</span></strong> &rarr; <strong><span style="color: DarkGreen">F</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">F</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">C</span></strong> &rarr; <strong><span style="color: DarkOrange">D</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">F</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>091. 2699</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">D</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">E</span></strong> &rarr; <strong><span style="color: DarkGreen">F</span></strong> &rarr; <strong><span style="color: DarkCyan">G</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">G</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">D</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">E</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">G</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>092. 3a70</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">E</span></strong> &rarr; <strong><span style="color: DarkGreen">F</span></strong> &rarr; <strong><span style="color: DarkCyan">G</span></strong> &rarr; <strong><span style="color: DarkBlue">H</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">H</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">E</span></strong> &rarr; <strong><span style="color: DarkGreen">F</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">H</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Incorrect
MC	<p>093. 79af</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">F</span></strong> &rarr; <strong><span style="color: DarkCyan">G</span></strong> &rarr; <strong><span style="color: DarkBlue">H</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">I</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">I</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">F</span></strong> &rarr; <strong><span style="color: DarkCyan">G</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">I</span></strong> functions as?</p>	A.  competitive inhibitor&nbsp; 	Incorrect	B.  activator&nbsp; 	Correct	C.  molecular stopper&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>094. cff1</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">G</span></strong> &rarr; <strong><span style="color: DarkBlue">H</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">I</span></strong> &rarr; <strong><span style="color: DarkMagenta">J</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">J</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">G</span></strong> &rarr; <strong><span style="color: DarkBlue">H</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">J</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  activator&nbsp; 	Correct
